Facility Name,Facility Address,Utility Type,Measure,Use,Cost,Month,Month_Num,Year
117,117 N Mason,Wastewater,CALC,,148.92,January,1,2005
117,117 N Mason,Wastewater,CALC,,147.87,February,2,2005
117,117 N Mason,Wastewater,CALC,,147.52,March,3,2005
117,117 N Mason,Wastewater,CALC,,146.64,April,4,2005
117,117 N Mason,Wastewater,CALC,,147.87,May,5,2005
117,117 N Mason,Wastewater,CALC,,149.09,June,6,2005
117,117 N Mason,Wastewater,CALC,,148.39,July,7,2005
117,117 N Mason,Wastewater,CALC,,146.82,August,8,2005
117,117 N Mason,Wastewater,CALC,,148.39,September,9,2005
117,117 N Mason,Wastewater,CALC,,148.57,October,10,2005
117,117 N Mason,Wastewater,CALC,,147.87,November,11,2005
117,117 N Mason,Wastewater,CALC,,146.99,December,12,2005
117,117 N Mason,Wastewater,CALC,,151.01,January,1,2006
117,117 N Mason,Wastewater,CALC,,151.95,February,2,2006
117,117 N Mason,Wastewater,CALC,,152.1,March,3,2006
117,117 N Mason,Wastewater,CALC,,148.72,April,4,2006
117,117 N Mason,Wastewater,CALC,,153.98,May,5,2006
117,117 N Mason,Wastewater,CALC,,156.34,June,6,2006
117,117 N Mason,Wastewater,CALC,,148.72,July,7,2006
117,117 N Mason,Wastewater,CALC,,148.9,August,8,2006
117,117 N Mason,Wastewater,CALC,,149.63,September,9,2006
117,117 N Mason,Wastewater,CALC,,154.19,October,10,2006
117,117 N Mason,Wastewater,CALC,,153.36,November,11,2006
117,117 N Mason,Wastewater,CALC,,148.35,December,12,2006
117,117 N Mason,Wastewater,CALC,,148.83,January,1,2007
117,117 N Mason,Wastewater,CALC,,150.76,February,2,2007
117,117 N Mason,Wastewater,CALC,,149.99,March,3,2007
117,117 N Mason,Wastewater,CALC,,149.99,April,4,2007
117,117 N Mason,Wastewater,CALC,,150.57,May,5,2007
117,117 N Mason,Wastewater,CALC,,155.29,June,6,2007
117,117 N Mason,Wastewater,CALC,,150.76,July,7,2007
117,117 N Mason,Wastewater,CALC,,144.2,August,8,2007
117,117 N Mason,Wastewater,CALC,,145.75,September,9,2007
117,117 N Mason,Wastewater,CALC,,145.17,October,10,2007
117,117 N Mason,Wastewater,CALC,,143.62,November,11,2007
117,117 N Mason,Wastewater,CALC,,144.4,December,12,2007
117,117 N Mason,Wastewater,CALC,,146.22,January,1,2008
117,117 N Mason,Wastewater,CALC,,145.79,February,2,2008
117,117 N Mason,Wastewater,CALC,,147.57,March,3,2008
117,117 N Mason,Wastewater,CALC,,146.44,April,4,2008
117,117 N Mason,Wastewater,CALC,,145.36,May,5,2008
117,117 N Mason,Wastewater,CALC,,147.3,June,6,2008
117,117 N Mason,Wastewater,CALC,,145.58,July,7,2008
117,117 N Mason,Wastewater,CALC,,148.82,August,8,2008
117,117 N Mason,Wastewater,CALC,,146.66,September,9,2008
117,117 N Mason,Wastewater,CALC,,146.44,October,10,2008
117,117 N Mason,Wastewater,CALC,,147.52,November,11,2008
117,117 N Mason,Wastewater,CALC,,147.52,December,12,2008
117,117 N Mason,Wastewater,CALC,,149.83,January,1,2009
117,117 N Mason,Wastewater,CALC,,149.35,February,2,2009
117,117 N Mason,Wastewater,CALC,,148.87,March,3,2009
117,117 N Mason,Wastewater,CALC,,149.11,April,4,2009
117,117 N Mason,Wastewater,CALC,,152.47,May,5,2009
117,117 N Mason,Wastewater,CALC,,149.83,June,6,2009
117,117 N Mason,Wastewater,CALC,,143.12,July,7,2009
117,117 N Mason,Wastewater,CALC,,142.64,August,8,2009
117,117 N Mason,Wastewater,CALC,,139.28,September,9,2009
117,117 N Mason,Wastewater,CALC,,139.52,October,10,2009
117,117 N Mason,Wastewater,CALC,,139.04,November,11,2009
117,117 N Mason,Wastewater,CALC,,139.04,December,12,2009
117,117 N Mason,Wastewater,CALC,,140.13,January,1,2010
117,117 N Mason,Wastewater,CALC,,140.92,February,2,2010
117,117 N Mason,Wastewater,CALC,,166.77,March,3,2010
117,117 N Mason,Wastewater,CALC,,156.09,April,4,2010
117,117 N Mason,Wastewater,CALC,,157.14,May,5,2010
117,117 N Mason,Wastewater,CALC,,159.38,June,6,2010
117,117 N Mason,Wastewater,CALC,,157.54,July,7,2010
117,117 N Mason,Wastewater,CALC,,154.51,August,8,2010
117,117 N Mason,Wastewater,CALC,,149.36,September,9,2010
117,117 N Mason,Wastewater,CALC,,153.06,October,10,2010
117,117 N Mason,Wastewater,CALC,,151.87,November,11,2010
117,117 N Mason,Wastewater,CALC,,149.1,December,12,2010
117,117 N Mason,Wastewater,CALC,,152.61,January,1,2011
117,117 N Mason,Wastewater,CALC,,155.77,February,2,2011
117,117 N Mason,Wastewater,CALC,,154.62,March,3,2011
117,117 N Mason,Wastewater,CALC,,156.2,April,4,2011
117,117 N Mason,Wastewater,CALC,,154.91,May,5,2011
117,117 N Mason,Wastewater,CALC,,156.63,June,6,2011
117,117 N Mason,Wastewater,CALC,,155.19,July,7,2011
117,117 N Mason,Wastewater,CALC,,154.04,August,8,2011
117,117 N Mason,Wastewater,CALC,,152.46,September,9,2011
117,117 N Mason,Wastewater,CALC,,153.61,October,10,2011
117,117 N Mason,Wastewater,CALC,,152.89,November,11,2011
117,117 N Mason,Wastewater,CALC,,153.33,December,12,2011
117,117 N Mason,Wastewater,CALC,,154.19,January,1,2012
117,117 N Mason,Wastewater,CALC,,155.28,February,2,2012
117,117 N Mason,Wastewater,CALC,,155.9,March,3,2012
117,117 N Mason,Wastewater,CALC,,154.81,April,4,2012
117,117 N Mason,Wastewater,CALC,,155.59,May,5,2012
117,117 N Mason,Wastewater,CALC,,159.47,June,6,2012
117,117 N Mason,Wastewater,CALC,,157.14,July,7,2012
117,117 N Mason,Wastewater,CALC,,161.33,August,8,2012
117,117 N Mason,Wastewater,CALC,,155.9,September,9,2012
117,117 N Mason,Wastewater,CALC,,157.3,October,10,2012
117,117 N Mason,Wastewater,CALC,,154.81,November,11,2012
117,117 N Mason,Wastewater,CALC,,156.21,December,12,2012
117,117 N Mason,Wastewater,CALC,,156.83,January,1,2013
117,117 N Mason,Wastewater,CALC,,155.74,February,2,2013
117,117 N Mason,Wastewater,CALC,,156.21,March,3,2013
117,117 N Mason,Wastewater,CALC,,157.45,April,4,2013
117,117 N Mason,Wastewater,CALC,,157.76,May,5,2013
117,117 N Mason,Wastewater,CALC,,161.8,June,6,2013
117,117 N Mason,Wastewater,CALC,,154.35,July,7,2013
117,117 N Mason,Wastewater,CALC,,156.68,August,8,2013
117,117 N Mason,Wastewater,CALC,,153.88,September,9,2013
117,117 N Mason,Wastewater,CALC,,158.85,October,10,2013
117,117 N Mason,Wastewater,CALC,,155.28,November,11,2013
117,117 N Mason,Wastewater,CALC,,153.79,December,12,2013
117,117 N Mason,Wastewater,CALC,,154.39,January,1,2014
117,117 N Mason,Wastewater,CALC,,152.9,February,2,2014
117,117 N Mason,Wastewater,CALC,,155.44,March,3,2014
117,117 N Mason,Wastewater,CALC,,161.42,April,4,2014
117,117 N Mason,Wastewater,CALC,,154.69,May,5,2014
117,117 N Mason,Wastewater,CALC,,165.31,June,6,2014
117,117 N Mason,Wastewater,CALC,,153.64,July,7,2014
117,117 N Mason,Wastewater,CALC,,154.69,August,8,2014
117,117 N Mason,Wastewater,CALC,,154.99,September,9,2014
117,117 N Mason,Wastewater,CALC,,152.9,October,10,2014
117,117 N Mason,Wastewater,CALC,,152,November,11,2014
117,117 N Mason,Wastewater,CALC,,154.93,December,12,2014
117,117 N Mason,Wastewater,CALC,,155.55,January,1,2015
117,117 N Mason,Wastewater,CALC,,154.01,February,2,2015
117,117 N Mason,Wastewater,CALC,,160.17,March,3,2015
117,117 N Mason,Wastewater,CALC,,157.09,April,4,2015
117,117 N Mason,Wastewater,CALC,,155.09,May,5,2015
117,117 N Mason,Wastewater,CALC,,158.63,June,6,2015
117,117 N Mason,Wastewater,CALC,,155.55,July,7,2015
117,117 N Mason,Wastewater,CALC,,157.55,August,8,2015
117,117 N Mason,Wastewater,CALC,,156.63,September,9,2015
117,117 N Mason,Wastewater,CALC,,155.86,October,10,2015
117,117 N Mason,Wastewater,CALC,,154.63,November,11,2015
117,117 N Mason,Wastewater,CALC,,158.75,December,12,2015
117,117 N Mason,Wastewater,CALC,,160.36,January,1,2016
117,117 N Mason,Wastewater,CALC,,163.91,February,2,2016
117,117 N Mason,Wastewater,CALC,,190.16,March,3,2016
117,117 N Mason,Wastewater,CALC,,162.13,April,4,2016
117,117 N Mason,Wastewater,CALC,,168.42,May,5,2016
117,117 N Mason,Wastewater,CALC,,171.64,June,6,2016
117,117 N Mason,Wastewater,CALC,,158.27,July,7,2016
117,117 N Mason,Wastewater,CALC,,159.56,August,8,2016
117,117 N Mason,Wastewater,CALC,,158.75,September,9,2016
117,117 N Mason,Wastewater,CALC,,146.67,October,10,2016
117,117 N Mason,Wastewater,CALC,,149.73,November,11,2016
117,117 N Mason,Wastewater,CALC,,150.7,December,12,2016
117,117 N Mason,Wastewater,CALC,,159.18,January,1,2017
117,117 N Mason,Wastewater,CALC,,158.19,February,2,2017
117,117 N Mason,Wastewater,CALC,,162.17,March,3,2017
117,117 N Mason,Wastewater,CALC,,158.19,April,4,2017
117,117 N Mason,Wastewater,CALC,,159.68,May,5,2017
117,117 N Mason,Wastewater,CALC,,168.64,June,6,2017
117,117 N Mason,Wastewater,CALC,,153.04,July,7,2017
117,117 N Mason,Wastewater,CALC,,157.36,August,8,2017
117,117 N Mason,Wastewater,CALC,,155.2,September,9,2017
117,117 N Mason,Wastewater,CALC,,156.19,October,10,2017
117,117 N Mason,Wastewater,CALC,,156.69,November,11,2017
117,117 N Mason,Wastewater,CALC,,159.18,December,12,2017
117,117 N Mason,Wastewater,CALC,,154.92,January,1,2018
117,117 N Mason,Wastewater,CALC,,147.59,February,2,2018
117,117 N Mason,Wastewater,CALC,,149.13,March,3,2018
117,117 N Mason,Wastewater,CALC,,150,April,4,2018
117,117 N Mason,Wastewater,CALC,,149.65,May,5,2018
117,117 N Mason,Wastewater,CALC,,148.78,June,6,2018
117,117 N Mason,Natural Gas,CCF,1439,1129.52,January,1,2005
117,117 N Mason,Natural Gas,CCF,1179,868,February,2,2005
117,117 N Mason,Natural Gas,CCF,865,618.03,March,3,2005
117,117 N Mason,Natural Gas,CCF,632,455.84,April,4,2005
117,117 N Mason,Natural Gas,CCF,201,159.37,May,5,2005
117,117 N Mason,Natural Gas,CCF,122,96.16,June,6,2005
117,117 N Mason,Natural Gas,CCF,12,24.15,July,7,2005
117,117 N Mason,Natural Gas,CCF,33,41.85,August,8,2005
117,117 N Mason,Natural Gas,CCF,66,71.77,September,9,2005
117,117 N Mason,Natural Gas,CCF,327,344.84,October,10,2005
117,117 N Mason,Natural Gas,CCF,1001,1141.28,November,11,2005
117,117 N Mason,Natural Gas,CCF,1681,1741.04,December,12,2005
117,117 N Mason,Natural Gas,CCF,1380,1583.94,January,1,2006
117,117 N Mason,Natural Gas,CCF,1659,1609.7,February,2,2006
117,117 N Mason,Natural Gas,CCF,1086,898.33,March,3,2006
117,117 N Mason,Natural Gas,CCF,458,338.83,April,4,2006
117,117 N Mason,Natural Gas,CCF,236,173.81,May,5,2006
117,117 N Mason,Natural Gas,CCF,27,36.83,June,6,2006
117,117 N Mason,Natural Gas,CCF,13,28.2,July,7,2006
117,117 N Mason,Natural Gas,CCF,9,25.56,August,8,2006
117,117 N Mason,Natural Gas,CCF,98,93.12,September,9,2006
